iter	RMSE
0	13.31207654
1	13.014397
2	12.71955772
3	12.41284021
4	12.12196425
5	11.86605734
6	11.607502
7	11.38418159
8	11.1907675
9	10.97095066
10	10.78178102
11	10.59344894
12	10.41896907
13	10.25554691
14	10.10729556
15	9.947859798
16	9.794528438
17	9.657899757
18	9.533632387
19	9.416415056
20	9.299181885
21	9.195626351
22	9.105417255
23	9.015155603
24	8.921508721
25	8.835300083
26	8.758391657
27	8.679933988
28	8.609937142
29	8.546707659
30	8.48676076
31	8.420034008
32	8.359664855
33	8.300321484
34	8.247219269
35	8.192623169
36	8.133450081
37	8.08291522
38	8.038766603
39	7.997763899
40	7.947467009
41	7.912372276
42	7.868574845
43	7.827126694
44	7.791375761
45	7.761486559
46	7.733071412
47	7.69935635
48	7.662091025
49	7.632737802
50	7.605644008
51	7.575482262
52	7.55001575
53	7.530439215
54	7.502189208
55	7.473448902
56	7.443784903
57	7.420538433
58	7.391304753
59	7.36592174
60	7.34812331
61	7.32280191
62	7.301982127
63	7.280579938
64	7.259049741
65	7.236028613
66	7.217391797
67	7.202165686
68	7.183648358
69	7.163982205
70	7.144335612
71	7.123820971
72	7.10274921
73	7.087381842
74	7.0718193
75	7.054017433
76	7.032880076
77	7.01541036
78	6.999984174
79	6.983485065
80	6.966948424
81	6.953348741
82	6.940118971
83	6.92305184
84	6.909713834
85	6.898217824
86	6.884543569
87	6.868333611
88	6.853554973
89	6.838185481
90	6.825334853
91	6.810060926
92	6.796430907
93	6.778974693
94	6.764984792
95	6.755763473
96	6.742582559
97	6.729276002
98	6.716258595
99	6.702444796
100	6.689106724
101	6.671433038
102	6.660205114
103	6.650830444
104	6.638254759
105	6.627822726
106	6.615295272
107	6.606981188
108	6.596731551
109	6.589450285
110	6.578425955
111	6.567762867
112	6.555225829
113	6.542265104
114	6.533557243
115	6.52884072
116	6.518089458
117	6.502715057
118	6.492860781
119	6.483740163
120	6.474595767
121	6.464612989
122	6.45540713
123	6.440920536
124	6.429567963
125	6.419826778
126	6.40543778
127	6.397429674
128	6.38369416
129	6.373175192
130	6.361594622
131	6.351592148
132	6.341282823
133	6.330254138
134	6.320816812
135	6.309036078
136	6.301875788
137	6.293258167
138	6.28362574
139	6.27020608
140	6.258140256
141	6.248459028
142	6.239126605
143	6.231199027
144	6.220954276
145	6.214126646
146	6.20720962
147	6.19501454
148	6.188533315
149	6.1749993
150	6.167990185
151	6.160907363
152	6.155367856
153	6.144345926
154	6.136850828
155	6.124035167
156	6.11486072
157	6.10677014
158	6.099231459
159	6.091362388
160	6.083845496
161	6.077039984
162	6.070399508
163	6.060764184
164	6.0544255
165	6.045357525
166	6.036254801
167	6.028444756
168	6.019527528
169	6.010491693
170	6.004447422
171	5.995544317
172	5.98847771
173	5.981111904
174	5.974271449
175	5.96775235
176	5.959771804
177	5.950385222
178	5.942511497
179	5.937111808
180	5.930127643
181	5.921233007
182	5.909164136
183	5.901616657
184	5.895077623
185	5.885086302
186	5.876653768
187	5.868576912
188	5.862154915
189	5.851334511
190	5.843318075
191	5.838751683
192	5.8297297
193	5.822674727
194	5.811476946
195	5.804397713
196	5.794994765
197	5.784834139
198	5.773652927
199	5.764327831
200	5.755827501
201	5.746347104
202	5.73821724
203	5.728596111
204	5.720145222
205	5.713569433
206	5.706346852
207	5.698978092
208	5.689985132
209	5.680670204
210	5.674980261
211	5.659991519
212	5.651662033
213	5.644451837
214	5.635164601
215	5.627027529
216	5.618522237
217	5.605758169
218	5.599184538
219	5.584813038
220	5.573729083
221	5.564376876
222	5.55622213
223	5.548698843
224	5.540960723
225	5.533533864
226	5.525711785
227	5.519212179
228	5.509248144
229	5.498516594
230	5.491565461
231	5.485415638
232	5.476108033
233	5.4684557
234	5.459545821
235	5.448053261
236	5.438257085
237	5.426715481
238	5.418167283
239	5.409768932
240	5.401335225
241	5.388460563
242	5.380440788
243	5.37310226
244	5.367453821
245	5.359013529
246	5.348865735
247	5.341061089
248	5.333297792
249	5.326343755
250	5.317351452
251	5.308002441
252	5.29854827
253	5.285058778
254	5.280285872
255	5.272946806
256	5.266628717
257	5.259043924
258	5.253227503
259	5.245586434
260	5.238325218
261	5.228057047
262	5.22166611
263	5.214767004
264	5.203036248
265	5.19480779
266	5.1869577
267	5.179135567
268	5.172338035
269	5.165470758
270	5.157658681
271	5.147626725
272	5.13895003
273	5.131726246
274	5.121456683
275	5.110875648
276	5.103594779
277	5.099046577
278	5.095173686
279	5.086191096
280	5.080351297
281	5.07119751
282	5.067082559
283	5.063169977
284	5.056576293
285	5.05180647
286	5.046208548
287	5.040336537
288	5.03382693
289	5.027195209
290	5.018837038
291	5.011248743
292	5.004405083
293	4.996652904
294	4.99020759
295	4.98436397
296	4.978542462
297	4.970777543
298	4.961660025
299	4.956394336
300	4.951932589
301	4.946380687
302	4.940733694
303	4.936185731
304	4.929894873
305	4.922662804
306	4.91671695
307	4.910504787
308	4.90188796
309	4.897122177
310	4.892858302
311	4.88857584
312	4.880105804
313	4.871630081
314	4.862065876
315	4.855806105
316	4.846406131
317	4.838448771
318	4.834365718
319	4.824982335
320	4.818386879
321	4.811968475
322	4.804643004
323	4.794897856
324	4.78890525
325	4.785019807
326	4.779100221
327	4.768167485
328	4.760913323
329	4.75414374
330	4.748244361
331	4.742087226
332	4.736433197
333	4.731644069
334	4.724366074
335	4.719977282
336	4.713002416
337	4.706384078
338	4.701224235
339	4.695379822
340	4.689591741
341	4.680998305
342	4.674799689
343	4.666363117
344	4.659828802
345	4.652299646
346	4.647781158
347	4.641490646
348	4.632545783
349	4.62643667
