iter	Passed	Remaining
0	200	199942
1	232	116012
2	265	88351
3	295	73567
4	325	64828
5	357	59194
6	389	55238
7	420	52180
8	453	49898
9	489	48428
10	522	46942
11	556	45852
12	592	44999
13	630	44439
14	669	43952
15	709	43606
16	762	44086
17	802	43759
18	838	43272
19	873	42784
20	910	42448
21	949	42199
22	998	42406
23	1038	42223
24	1073	41852
25	1107	41483
26	1143	41204
27	1179	40939
28	1229	41162
29	1265	40919
30	1300	40646
31	1334	40354
32	1371	40198
33	1406	39955
34	1440	39723
35	1476	39536
36	1509	39295
37	1542	39050
38	1574	38807
39	1607	38585
40	1639	38336
41	1671	38123
42	1705	37946
43	1739	37803
44	1775	37673
45	1810	37542
46	1842	37366
47	1875	37196
48	1907	37011
49	1939	36843
50	1972	36711
51	2006	36575
52	2039	36438
53	2072	36310
54	2104	36155
55	2137	36024
56	2169	35886
57	2200	35744
58	2231	35595
59	2263	35462
60	2294	35318
61	2324	35169
62	2356	35053
63	2389	34953
64	2423	34865
65	2458	34792
66	2494	34731
67	2530	34681
68	2566	34630
69	2601	34568
70	2637	34514
71	2672	34439
72	2705	34352
73	2738	34272
74	2773	34209
75	2811	34181
76	2842	34073
77	2874	33982
78	2912	33956
79	2944	33858
80	2977	33776
81	3009	33692
82	3044	33633
83	3078	33570
84	3112	33500
85	3145	33425
86	3179	33363
87	3211	33281
88	3244	33214
89	3277	33136
90	3309	33060
91	3343	32997
92	3376	32929
93	3410	32870
94	3444	32815
95	3477	32750
96	3511	32690
97	3547	32651
98	3579	32577
99	3610	32498
100	3641	32416
101	3673	32339
102	3708	32297
103	3740	32225
104	3771	32144
105	3803	32081
106	3834	32005
107	3865	31927
108	3896	31852
109	3927	31776
110	3959	31713
111	3992	31658
112	4026	31607
113	4059	31551
114	4094	31510
115	4131	31482
116	4164	31431
117	4196	31368
118	4228	31307
119	4261	31249
120	4292	31183
121	4324	31119
122	4355	31054
123	4387	30992
124	4421	30950
125	4456	30909
126	4492	30878
127	4526	30838
128	4559	30787
129	4595	30751
130	4628	30704
131	4662	30658
132	4694	30604
133	4731	30579
134	4765	30535
135	4800	30495
136	4834	30454
137	4870	30423
138	4903	30371
139	4934	30313
140	4966	30259
141	4998	30204
142	5031	30151
143	5064	30104
144	5099	30067
145	5133	30028
146	5165	29975
147	5199	29930
148	5230	29872
149	5261	29815
150	5292	29756
151	5323	29701
152	5355	29648
153	5390	29612
154	5425	29579
155	5461	29548
156	5498	29522
157	5534	29492
158	5572	29472
159	5606	29433
160	5639	29388
161	5673	29349
162	5703	29289
163	5737	29249
164	5771	29207
165	5807	29177
166	5843	29149
167	5877	29108
168	5913	29078
169	5948	29042
170	5983	29008
171	6017	28966
172	6050	28923
173	6085	28887
174	6122	28861
175	6176	28918
176	6227	28956
177	6263	28926
178	6302	28908
179	6337	28869
180	6373	28837
181	6408	28801
182	6441	28758
183	6473	28708
184	6505	28660
185	6537	28610
186	6569	28561
187	6600	28509
188	6631	28457
189	6662	28403
190	6694	28353
191	6726	28308
192	6760	28269
193	6794	28227
194	6825	28179
195	6859	28136
196	6890	28088
197	6922	28041
198	6953	27990
199	6985	27942
200	7027	27936
201	7059	27888
202	7094	27853
203	7130	27821
204	7168	27799
205	7209	27789
206	7249	27770
207	7288	27751
208	7329	27738
209	7372	27736
210	7414	27723
211	7456	27717
212	7496	27699
213	7540	27694
214	7586	27699
215	7623	27672
216	7665	27660
217	7706	27645
218	7750	27639
219	7792	27627
220	7835	27620
221	7881	27621
222	7924	27610
223	7983	27656
224	8031	27663
225	8069	27637
226	8106	27605
227	8143	27573
228	8177	27530
229	8211	27491
230	8247	27457
231	8283	27421
232	8318	27383
233	8351	27340
234	8385	27296
235	8421	27263
236	8455	27221
237	8488	27176
238	8521	27133
239	8553	27086
240	8587	27044
241	8620	27002
242	8653	26956
243	8690	26926
244	8724	26886
245	8757	26842
246	8792	26805
247	8824	26758
248	8858	26717
249	8890	26670
250	8924	26631
251	8960	26596
252	8999	26571
253	9037	26543
254	9074	26511
255	9110	26477
256	9145	26439
257	9180	26402
258	9215	26364
259	9251	26330
260	9285	26291
261	9318	26246
262	9350	26202
263	9382	26157
264	9422	26132
265	9454	26088
266	9486	26043
267	9532	26035
268	9565	25992
269	9596	25946
270	9637	25924
271	9667	25875
272	9699	25830
273	9730	25782
274	9761	25736
275	9793	25690
276	9824	25642
277	9854	25594
278	9886	25549
279	9917	25503
280	9950	25459
281	9983	25419
282	10015	25375
283	10046	25328
284	10077	25282
285	10108	25235
286	10140	25191
287	10172	25147
288	10203	25102
289	10236	25061
290	10267	25015
291	10298	24970
292	10329	24925
293	10360	24880
294	10391	24834
295	10424	24794
296	10456	24751
297	10488	24708
298	10521	24668
299	10554	24627
300	10586	24584
301	10618	24542
302	10651	24501
303	10682	24456
304	10715	24417
305	10747	24374
306	10787	24350
307	10818	24306
308	10850	24264
309	10882	24221
310	10912	24176
311	10943	24132
312	10977	24094
313	11010	24054
314	11044	24016
315	11074	23972
316	11106	23930
317	11142	23897
318	11173	23853
319	11205	23810
320	11238	23771
321	11270	23731
322	11301	23687
323	11333	23646
324	11364	23603
325	11396	23561
326	11428	23520
327	11459	23478
328	11492	23438
329	11525	23399
330	11558	23361
331	11590	23320
332	11621	23278
333	11652	23235
334	11684	23195
335	11715	23152
336	11764	23144
337	11796	23103
338	11827	23061
339	11858	23018
340	11890	22978
341	11923	22939
342	11967	22923
343	12001	22887
344	12036	22851
345	12070	22815
346	12109	22787
347	12147	22758
348	12186	22731
349	12221	22697
350	12262	22672
351	12299	22641
352	12336	22610
353	12375	22583
354	12415	22558
355	12454	22530
356	12488	22493
357	12520	22452
358	12552	22413
359	12585	22374
360	12617	22334
361	12649	22294
362	12681	22254
363	12713	22213
364	12744	22172
365	12775	22130
366	12807	22090
367	12838	22048
368	12869	22007
369	12902	21969
370	12933	21928
371	12965	21888
372	12996	21846
373	13028	21806
374	13062	21770
375	13095	21733
376	13127	21694
377	13159	21653
378	13191	21614
379	13232	21589
380	13265	21552
381	13300	21517
382	13332	21478
383	13363	21437
384	13395	21397
385	13435	21371
386	13471	21339
387	13510	21310
388	13543	21273
389	13579	21240
390	13612	21202
391	13648	21169
392	13686	21138
393	13723	21107
394	13754	21066
395	13785	21026
396	13819	20989
397	13852	20952
398	13889	20921
399	13930	20895
400	13971	20869
401	14008	20838
402	14042	20802
403	14075	20765
404	14109	20728
405	14140	20688
406	14173	20650
407	14205	20611
408	14237	20572
409	14268	20533
410	14300	20494
411	14331	20454
412	14363	20414
413	14394	20375
414	14425	20334
415	14456	20294
416	14486	20253
417	14518	20214
418	14549	20175
419	14582	20137
420	14616	20101
421	14653	20070
422	14690	20038
423	14727	20007
424	14767	19979
425	14806	19950
426	14846	19922
427	14885	19893
428	14925	19866
429	14980	19857
430	15032	19846
